"id_medicament","Code_EAN_13","Nom","Image_URL","Présentation","Dosage","Distributeur_ou_fabriquant","Composition","Classe_thérapeutique","Statut","Code_ATC","PPV","Prix_hospitalier","Tableau","Indications","Min_Stock","Stock_Actuel","url_medicament"
"21","6118000041979","ACIGAM 100 MG, Comprimé sécable","https://medicament.ma/image/15791/","Boite de 30","100 MG","BOTTU S.A.","Acide tiaprofénique","Anti-inflammatoire non stéroïdien","Commercialisé","M01AE11","27.00","16.90","C","Elles sont limitées, chez l’adulte et l’enfant à partir de 15 kg (soit environ à partir de 4 ans), au :- traitement symptomatique au long cours :* des rhumatismes inflammatoires chroniques, notamment polyarthrite rhumatoïde,* de certaines arthroses douloureuses et invalidantes ;- traitement symptomatique de courte durée :* des poussées aiguës d’arthrose, de lombalgies,* des affections aiguës post-traumatiques bénignes de l’appareil locomoteur ;- dysménorrhée après recherche étiologique ;- traitement symptomatique de la douleur au cours des manifestations inflammatoires dans les domaines ORL et stomatologiques. Dans cette indication, les risques encourus, en particulier l’extension d’un processus septique concomitant sont ceux des AINS. Ils doivent être évalués par rapport au bénéfice antalgique attendu.","0","54","https://medicament.ma/medicament/acigam-100-mg-comprime-secable/"
"22","6118000041986","ACIGAM 200 MG, Comprimé sécable","https://medicament.ma/image/15791/","Boite de 20","200 MG","BOTTU S.A.","Acide tiaprofénique","Anti-inflammatoire non stéroïdien","Commercialisé","M01AE11","33.60","21.00","C","Elles sont limitées, chez l’adulte et l’enfant à partir de 15 kg (soit environ à partir de 4 ans), au :- traitement symptomatique au long cours :* des rhumatismes inflammatoires chroniques, notamment polyarthrite rhumatoïde,* de certaines arthroses douloureuses et invalidantes ;- traitement symptomatique de courte durée :* des poussées aiguës d’arthrose, de lombalgies,* des affections aiguës post-traumatiques bénignes de l’appareil locomoteur ;- dysménorrhée après recherche étiologique ;- traitement symptomatique de la douleur au cours des manifestations inflammatoires dans les domaines ORL et stomatologiques. Dans cette indication, les risques encourus, en particulier l’extension d’un processus septique concomitant sont ceux des AINS. Ils doivent être évalués par rapport au bénéfice antalgique attendu.","0","26","https://medicament.ma/medicament/acigam-200-mg-comprime-secable/"
"23","6118001030538","ACLASTA 5 MG / 100 ML, Solution pour perfusion","https://medicament.ma/image/15791/","Flacon de 100 ml","5 MG / 100 ML","NOVARTIS PHARMA MAROC","Acide zolédronique","Médicaments pour le traitement de maladies osseuses, bisphosphonate.","Commercialisé","M05BA08","3041.00","2718.00","A","La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.","0","39","https://medicament.ma/medicament/aclasta-5mg100-ml-sol-pour-perf/"
"24","6118000091752","ACLAV 1 G / 125 MG, Sachet","https://medicament.ma/image/15791/","Boîte de 24","1 G | 125 MG","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","174.80","109.20","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","38","https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable-4/"
"25","6118000091769","ACLAV 1 G / 125 MG, Sachet","https://medicament.ma/image/15791/","Boîte de 16","1 G | 125 MG","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","123.40","77.10","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","16","https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable-3/"
"26","6118000091776","ACLAV 1 G / 125 MG, Sachet","https://medicament.ma/image/15791/","Boîte de 14","1 G | 125 MG","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","107.50","67.20","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","26","https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable-2/"
"27","6118000091684","ACLAV 1 G / 125 MG, Sachet","https://medicament.ma/image/15791/","Boîte de 12","99","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","92.50","57.80","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","38","https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable/"
"28","6118000092490","ACLAV 1 G / 200 MG ADULTE, Suspension injectable","https://medicament.ma/image/15791/","Boîte de 1 flacon","1 G | 200 MG","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","30.80","19.30","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","24","https://medicament.ma/medicament/aclav-1g-200mg-adulte-suspension-injectable/"
"29","6118000091790","ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable","https://medicament.ma/image/15791/","2 flacons de 60 ml","100 MG  | 12,5 M","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","112.70","70.20","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","23","https://medicament.ma/medicament/aclav-100-mg125-mlml-poudre-pour-suspension-buvable-4/"
"30","6118000091783","ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable","https://medicament.ma/image/15791/","2 flacons de 30 ml","100 MG | 12,5 ML","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","60.50","37.80","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","41","https://medicament.ma/medicament/aclav-100-mg125-mlml-poudre-pour-suspension-buvable-2/"
"31","6118000091707","ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable","https://medicament.ma/image/15791/","Flacon de 30 ml","100 MG | 12,5 ML","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","34.20","21.40","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","27","https://medicament.ma/medicament/aclav-100-mg125-mlml-poudre-pour-suspension-buvable/"
"32","6118000092506","ACLAV 2 G / 200 MG ADULTE, Suspension injectable","https://medicament.ma/image/15791/","Une boite unitaire","2 G | 200 MG","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","43.00","26.90","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","15","https://medicament.ma/medicament/aclav-2g-200-mg-adulte-suspension-injectable/"
"33","6118000092513","ACLAV 500 MG / 50 MG, Poudre pour préparation injectable","https://medicament.ma/image/15791/","Boite contenant un flacon","500 MG | 50 MG","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","18.70","11.70","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","28","https://medicament.ma/medicament/aclav-50050mg-poudre-pour-preparation-injectable/"
"34","6118000092179","ACLAV 500 MG / 62,5 MG, Sachet","https://medicament.ma/image/15791/","Boîte de 24","500 MG | 62,5 MG","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","113.50","71.00","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","18","https://medicament.ma/medicament/aclav-500-mg625-mg-poudre-pour-suspension-buvable-4/"
"35","6118000092162","ACLAV 500 MG / 62,5 MG, Sachet","https://medicament.ma/image/15791/","Boîte de 16","500 MG  | 62,5 MG","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","99.50","62.20","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","13","https://medicament.ma/medicament/aclav-500-mg625-mg-poudre-pour-suspension-buvable-3/"
"36","6118000091677","ACLAV 500 MG / 62.5 MG, Sachet","https://medicament.ma/image/15791/","Boîte de 12","500 MG | 62.5 MG","PHARMA5","Amoxicilline | Acide clavulanique","Antibiotique, pénicilline avec inhibiteur des bêtalactamases","Commercialisé","J01CR02","74.60","46.60","A","Indiqué pour le traitement des infections suivantes chez les adultes et les enfants:- sinusite bactérienne aiguë (diagnostiquée de façon appropriée),- otite moyenne aiguë,- exacerbations aiguës de bronchite chronique (diagnostiquée de façon appropriée),- pneumonie aiguë communautaire,- cystite,- pyélonéphrite,- infections de la peau et des tissus mous, en particulier cellulite, morsures animales, abcès dentaire sévère avec propagation de cellulite,- infections des os et des articulations, en particulier ostéomyélite.Il convient de tenir compte des recommandations officielles concernant l’utilisation appropriée des antibactériens.","0","48","https://medicament.ma/medicament/aclav-500-mg625-mg-poudre-pour-suspension-buvable/"
"37","6118001270613","ACNO 10 MG, Capsule molle","https://medicament.ma/image/15791/","Boîtede 30","10 MG","ZENITH PHARMA","Isotrétinoïne","Antiacnéique systémique, rétinoïde","Commercialisé","D10BA01","142.10","88.80","A","Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.","0","38","https://medicament.ma/medicament/acno-10-mg-capsule-molle-3/"
"38","6118001270651","ACNO 20 MG, Capsule molle","https://medicament.ma/image/15791/","Boîte de 30","20 MG","ZENITH PHARMA","Isotrétinoïne","Antiacnéique systémique, rétinoïde","Commercialisé","D10BA01","269.00","179.10","A","Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.","0","31","https://medicament.ma/medicament/acno-20-mg-capsule-molle-3/"
"39","6118001270668","ACNO 20 MG, Capsule molle","https://medicament.ma/image/15791/","Boîte de 60","20 MG","ZENITH PHARMA","Isotrétinoïne","Antiacnéique systémique, rétinoïde","Commercialisé","D10BA01","497.00","330.00","A","Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.","0","70","https://medicament.ma/medicament/acno-20-mg-capsule-molle-4/"
"41","6118000311140","ACOL 1000 MG, Comprimé pelliculé","https://medicament.ma/image/15791/","Boite de 30","1000 MG","PHARMED","Metformine","Antidiabétique, biguanide","Commercialisé","A10BA02","18.30","11.40","A","Traitement du diabète de type 2, notamment chez les patients en excès pondéral, lorsque le régime alimentaire et l'activité physique ne suffisent pas à normaliser la glycémie. Glucophage peut être utilisé en monothérapie ou en association avec d'autres antidiabétiques oraux ou de l'insuline.En complément d'une insulinothérapie de diabète de type 1, notamment en présence d'une résistance secondaire à l'insuline, lorsqu'un traitement par l'insuline ne permet pas de contrôler suffisamment la glycémie.","0","26","https://medicament.ma/medicament/acol-1000-mg-comprime-pellicule/"
"42","6118001080014","ACT HIB, Suspension injectable [V]","https://medicament.ma/image/15791/","Une seringue contenant une dose","10 microgrammes / 0,5 mL","SANOFI AVENTIS MAROC","Vaccin Haemophilus Type B Conjugué","Vaccin","Commercialisé","J07AG01","143.00","89.40","Aucun","Ce vaccin est indiqué dans la prévention des infections invasives à Haemophilus influenzae type b (méningites, septicémies, cellulites, arthrites, épiglottites,…) chez l’enfant à partir de 2 mois.Ce vaccin ne protège pas contre les infections dues aux autres types d’Haemophilus influenzae, ni contre les méningites dues à d’autres origines.En aucun cas, la protéine tétanique contenue dans ce vaccin ne peut remplacer la vaccination tétanique habituelle.","0","61","https://medicament.ma/medicament/act-hib/"
"43","6118000121039","ACTACEPT  5 MG, Comprimé pelliculé","https://medicament.ma/image/15791/","Boite de 30","5 MG","POLYMEDIC","Donépezil","Inhibiteur de la cholinestérase","Commercialisé","N06DA02","233.00","146.00","A","Le donépezil est indiqué dans le traitement symptomatique de la maladie d'Alzheimer dans ses formes légères à modérément sévères.","0","85","https://medicament.ma/medicament/actacept-5-mg-comprime-pellicule-2/"
"44","6118000121046","ACTACEPT 10 MG, Comprimé pelliculé","https://medicament.ma/image/15791/","Boite de 30","10 MG","POLYMEDIC","Donépezil","Inhibiteur de la cholinestérase","Commercialisé","N06DA02","373.00","248.00","A","Le donépezil est indiqué dans le traitement symptomatique de la maladie d'Alzheimer dans ses formes légères à modérément sévères.","0","47","https://medicament.ma/medicament/actacept-10-mg-comprime-pellicule/"
"47","6118001050819","ACTEMRA 200 MG / 10 ML, Solution à diluer pour perfusion","https://medicament.ma/image/15791/","1 flacon de 20 ml","200 MG / 10 ML","ROCHE S.A","Tocilizumab","Immunosuppresseur, anticorps monoclonal humanisé (anti-récepteur del'IL-6)","Commercialisé","L04AC07","2848.00","2520.00","A","Tocilizumab, en association au méthotrexate (MTX), est indiqué pour :- le traitement de la polyarthrite rhumatoïde (PR) active, sévère et évolutive chez les patients adultes non précédemment traités par MTX.- le traitement de la PR active, modérée à sévère, chez les patients adultes qui ont présenté soit une réponse inadéquate, soit une intolérance à un précédent traitement par un ou plusieurs traitements de fond (DMARDs) ou par un ou plusieurs antagonistes du facteur de nécrose tumorale (anti-TNF).Chez ces patients, Tocilizumab peut être utilisé en monothérapie en cas d’intolérance au MTX, ou lorsque la poursuite du traitement par MTX est inadaptée.Il a été montré que Tocilizumab, en association avec le méthotrexate, réduit le taux de progression des dommages structuraux articulaires mesurés par radiographie et améliore les capacités fonctionnelles.Tocilizumab est indiqué pour le traitement de l’arthrite juvénile idiopathique systémique (AJIs) active chez les patients âgés de 1 an et plus, qui ont présenté une réponse inadéquate à un précédent traitement par AINS et corticoïdes systémiques.Tocilizumab peut être utilisé en monothérapie (en cas d’intolérance au MTX ou lorsque le traitement par MTX est inadapté) ou en association au MTX.Tocilizumab en association au méthotrexate (MTX) est indiqué pour le traitement de l’arthrite juvénile idiopathique polyarticulaire (AJIp : facteur rhumatoïde positif ou négatif et oligoarthrite étendue) chez les patients âgés de 2 ans et plus, qui ont présenté une réponse inadéquate à un précédent traitement par MTX.Tocilizumab peut être utilisé en monothérapie en cas d’intolérance au MTX, ou lorsque la poursuite du traitement par MTX est inadaptée.Tocilizumab est indiqué pour le traitement des patients adultes atteints d’artérite à cellules géantes (ACG).","0","34","https://medicament.ma/medicament/actemra-200mg10ml-solution-a-diluer-pour-perfusion/"
